input;target
Monday 24/05/1841;24-05-1841
Tue. 15/01/1867;15-01-1867
Sunday 19 Jul. 1801;19-07-1801
20 Nov. 1944;20-11-1944
Sunday 05 July 2043;05-07-2043
Saturday, 04 Jan. 1947;04-01-1947
Fri. 31.10.1902;31-10-1902
Monday, 10/02/1817;10-02-1817
Thu. 17 Jan. 1811;17-01-1811
Mon 1935 February 25;25-02-1935
Thu. 24 Jun 1869;24-06-1869
16.06.1980;16-06-1980
Sun 29.07.1849;29-07-1849
04.08.2009;04-08-2009
Monday, 28.04.1884;28-04-1884
Wednesday 2014 09 17;17-09-2014
Thursday 29 Oct. 1903;29-10-1903
Monday 13/01/1868;13-01-1868
Tue 1886 Mar 09;09-03-1886
Monday, 24-09-1849;24-09-1849
Monday 1906 May. 21;21-05-1906
21.11.1833;21-11-1833
Wed 1921-09-14;14-09-1921
Mon. 1836.11.07;07-11-1836
Sat 12 Apr. 1958;12-04-1958
Tuesday 25 Sep. 2035;25-09-2035
05-05-1950;05-05-1950
Mon 1865-11-13;13-11-1865
Saturday, 12.03.1864;12-03-1864
Tuesday, 26.03.2013;26-03-2013
Thu 1828 Sep. 11;11-09-1828
25.04.2005;25-04-2005
Mon. 29 Mar. 1999;29-03-1999
Sun 1902 May. 25;25-05-1902
1894-04-18;18-04-1894
Saturday, 18-04-1925;18-04-1925
30-03-1897;30-03-1897
Mon 2000 Mar. 27;27-03-2000
Tuesday, 03.10.1820;03-10-1820
Wednesday 1945 05 09;09-05-1945
Wednesday 06/05/1908;06-05-1908
Sunday, 2004 February 22;22-02-2004
Thu 18.02.1937;18-02-1937
Tuesday, 1815-02-21;21-02-1815
Tuesday, 20/04/1943;20-04-1943
04 September 2040;04-09-2040
Wed 1911.10.04;04-10-1911
Thursday 1859 08 04;04-08-1859
Sat. 31 Dec. 1898;31-12-1898
Fri 30 May 2014;30-05-2014
Tuesday, 1823 07 29;29-07-1823
Monday, 1904/03/21;21-03-1904
29-10-2027;29-10-2027
Thursday, 26.11.1840;26-11-1840
Fri. 07 01 1820;07-01-1820
Sat. 01.12.1849;01-12-1849
Wednesday 23-05-1984;23-05-1984
1855 Dec. 11;11-12-1855
Mon. 2027 08 09;09-08-2027
Fri. 1855 Feb. 16;16-02-1855
Wed 10-03-1943;10-03-1943
Friday 16.09.1949;16-09-1949
1999 Nov 30;30-11-1999
15/03/1904;15-03-1904
1979 Dec. 15;15-12-1979
1851-12-13;13-12-1851
Sun. 05 March 1899;05-03-1899
Thursday 1831/01/06;06-01-1831
Wednesday 17 Oct 2035;17-10-2035
Tuesday, 1979 Sep. 25;25-09-1979
02 11 1993;02-11-1993
12 03 2005;12-03-2005
Monday, 27 October 1800;27-10-1800
Mon 1905 09 25;25-09-1905
1887 May 01;01-05-1887
Tuesday, 2040-03-20;20-03-2040
Friday 2020 Dec. 04;04-12-2020
Monday 06 07 2037;06-07-2037
Monday, 12/07/1897;12-07-1897
01 03 1869;01-03-1869
Mon 15 Feb 1988;15-02-1988
Friday 20/11/1953;20-11-1953
Wednesday, 1895 January 09;09-01-1895
Sun 13.02.1848;13-02-1848
Sunday 1880 May 02;02-05-1880
1847 10 11;11-10-1847
Sat 25 Jun. 1864;25-06-1864
Sat. 08.04.1815;08-04-1815
06 Oct. 1861;06-10-1861
Fri 21 12 1956;21-12-1956
Wed 1960 Feb 24;24-02-1960
Tuesday, 28.08.1900;28-08-1900
Saturday 03 Aug 1946;03-08-1946
18 Jan. 2001;18-01-2001
Mon. 1885 08 24;24-08-1885
Friday, 1834 September 12;12-09-1834
Wednesday 22-10-1800;22-10-1800
Tuesday, 23.10.1934;23-10-1934
Wed 14/04/1830;14-04-1830
Friday, 31 08 1832;31-08-1832
16 04 1851;16-04-1851
Monday 12.02.2046;12-02-2046
Friday, 1836 September 09;09-09-1836
Friday 23 Apr. 1915;23-04-1915
29 04 2017;29-04-2017
Fri 1921 Dec 23;23-12-1921
Tuesday, 19.04.1881;19-04-1881
01-09-1805;01-09-1805
Wednesday, 1813 02 24;24-02-1813
Sun. 03 May 2015;03-05-2015
Wed 1898 Nov. 09;09-11-1898
Monday, 31-12-1888;31-12-1888
Sunday 17 04 2033;17-04-2033
Wednesday 17-07-1968;17-07-1968
Tue. 1925-11-24;24-11-1925
Friday, 11-07-2042;11-07-2042
Thu. 1815/09/21;21-09-1815
Mon. 1964 02 17;17-02-1964
2016 03 09;09-03-2016
Sun 2038 June 06;06-06-2038
Thursday, 31/10/2024;31-10-2024
1904/06/09;09-06-1904
1909 Apr. 24;24-04-1909
Sat. 05 December 1863;05-12-1863
Monday 2042-09-22;22-09-2042
Mon 04 Jan. 1909;04-01-1909
Fri. 28/01/1944;28-01-1944
29 Apr. 2039;29-04-2039
2034 10 04;04-10-2034
10/05/1814;10-05-1814
Friday, 1990 Oct. 26;26-10-1990
Mon. 22 Feb. 1965;22-02-1965
2027 July 12;12-07-2027
Sun. 1833 August 04;04-08-1833
Sun. 10/03/1946;10-03-1946
05 August 1834;05-08-1834
Wednesday, 18 December 2041;18-12-2041
Sat 2047 07 13;13-07-2047
Thu. 09 04 1970;09-04-1970
Tue. 28 Mar 1922;28-03-1922
1878/03/17;17-03-1878
Friday, 2010 Jun. 04;04-06-2010
Friday, 07 May 1875;07-05-1875
1952 Sep 14;14-09-1952
Saturday 22 March 1919;22-03-1919
Tue. 19.08.1924;19-08-1924
Tuesday 04 Aug 1981;04-08-1981
Sun. 2029-07-22;22-07-2029
Thursday, 21 May. 1863;21-05-1863
Wed 28 Mar. 1860;28-03-1860
Monday, 1962-09-10;10-09-1962
Mon 1882 January 30;30-01-1882
Sat. 1869/11/27;27-11-1869
Sat. 07 01 1865;07-01-1865
Tue. 1932 12 06;06-12-1932
Fri 2001.08.17;17-08-2001
1925 Oct. 18;18-10-1925
Thursday, 28.06.2018;28-06-2018
Tuesday, 07/10/1856;07-10-1856
Tue. 04 Apr. 2023;04-04-2023
12.09.1979;12-09-1979
1896 Apr 09;09-04-1896
Thursday, 21 10 2010;21-10-2010
Tue 1899.08.15;15-08-1899
Sunday, 05-05-2013;05-05-2013
Sun. 2027 November 07;07-11-2027
Fri 27/10/1989;27-10-1989
Wednesday 01.06.1910;01-06-1910
Friday, 29 April 1949;29-04-1949
02-12-2022;02-12-2022
Fri 2047 11 01;01-11-2047
Thu 1968-02-15;15-02-1968
Saturday, 1826 Dec 16;16-12-1826
Monday, 1929/10/21;21-10-1929
Wed 1888.11.21;21-11-1888
Fri. 2020-05-08;08-05-2020
Fri 2037.12.11;11-12-2037
Sat. 14 09 1895;14-09-1895
23 Jul 2032;23-07-2032
Saturday 15.11.1902;15-11-1902
1832 May 12;12-05-1832
04 07 1979;04-07-1979
1892/11/23;23-11-1892
01/04/1924;01-04-1924
Friday, 1892.04.15;15-04-1892
2020 Apr 15;15-04-2020
1896.05.31;31-05-1896
Thursday 2022 Sep. 01;01-09-2022
06 Apr 1976;06-04-1976
Sun. 1883 August 26;26-08-1883
Fri 10 Mar 2045;10-03-2045
Saturday, 15-12-1838;15-12-1838
Sun 1995 09 17;17-09-1995
Mon. 1802 10 04;04-10-1802
Wednesday 04 Apr. 1855;04-04-1855
Thu 28.11.1907;28-11-1907
Sunday, 1871 04 09;09-04-1871
Thursday 19/05/1932;19-05-1932
Fri. 03 Aug. 2018;03-08-2018
04 05 2009;04-05-2009
Monday, 22 Nov. 1999;22-11-1999
Sunday 11 Jul 1841;11-07-1841
Monday 1989 08 07;07-08-1989
Saturday 1898/09/24;24-09-1898
Thursday, 1870 Jan 06;06-01-1870
1807 July 15;15-07-1807
Sun 21 06 1987;21-06-1987
Thursday 2023 06 22;22-06-2023
1874 09 21;21-09-1874
Fri 1830 June 25;25-06-1830
Sun 1987 Dec 13;13-12-1987
Wednesday, 31-08-1831;31-08-1831
1956 Jan. 25;25-01-1956
Thursday 2023.12.28;28-12-2023
Friday 03-01-1941;03-01-1941
Tue. 11.06.1850;11-06-1850
Sat. 1928/06/23;23-06-1928
Saturday, 30 Apr. 1814;30-04-1814
Saturday 1947-08-02;02-08-1947
Tuesday 23 March 1880;23-03-1880
Monday, 22 Nov 2049;22-11-2049
Mon. 21 Sep. 1964;21-09-1964
Wednesday, 12-12-1934;12-12-1934
2026/03/19;19-03-2026
Sat 1995 01 14;14-01-1995
Mon. 1922 Apr 10;10-04-1922
Sunday, 21-06-1835;21-06-1835
Tuesday 14 May 1935;14-05-1935
Tue 18/06/1957;18-06-1957
Sunday 03 July 2022;03-07-2022
Sunday, 1899.05.07;07-05-1899
19 November 1899;19-11-1899
1993 10 18;18-10-1993
Sat 16 March 1833;16-03-1833
Wed. 03 Feb. 1892;03-02-1892
Wed. 1911 Dec 27;27-12-1911
Sat. 2040.06.16;16-06-2040
Sunday 21-01-2018;21-01-2018
03-02-1963;03-02-1963
Wed 29 April 1818;29-04-1818
1952.06.29;29-06-1952
Sunday, 09 08 1835;09-08-1835
Friday, 1810 Jun 01;01-06-1810
Wed. 1945 11 07;07-11-1945
Thu. 30 Apr 1857;30-04-1857
1856/07/31;31-07-1856
18 February 1983;18-02-1983
Saturday 09/04/1842;09-04-1842
Tue 04 February 2014;04-02-2014
Tue 1824 April 20;20-04-1824
1924 January 13;13-01-1924
Thu 10.09.2026;10-09-2026
Sat. 2034.07.29;29-07-2034
1819.01.23;23-01-1819
07-02-1963;07-02-1963
Wednesday 15 May 2047;15-05-2047
Monday 17 Feb 1851;17-02-1851
Sunday 1948 May. 30;30-05-1948
Fri. 16/12/1814;16-12-1814
Friday 1832.07.06;06-07-1832
Mon 1953 Jan 19;19-01-1953
Wed 1803 May 25;25-05-1803
04-09-1923;04-09-1923
Tue. 1849 Mar. 13;13-03-1849
Tue 07 March 2028;07-03-2028
Tue. 06-06-1961;06-06-1961
24 03 2009;24-03-2009
Sun 31 Jul. 1983;31-07-1983
1965 10 30;30-10-1965
Sun. 1950/04/02;02-04-1950
Friday 1995.06.02;02-06-1995
Sat 03/06/1882;03-06-1882
Monday, 1901 Oct. 14;14-10-1901
Fri 1847-02-12;12-02-1847
09/10/1839;09-10-1839
2046-07-25;25-07-2046
Sun 1909 Jul. 25;25-07-1909
2014 09 19;19-09-2014
Tue 1903 Mar. 31;31-03-1903
Tue 19.02.1828;19-02-1828
Mon. 1898.05.02;02-05-1898
Saturday 2011 Jan. 01;01-01-2011
Sunday 1910.08.21;21-08-1910
Saturday, 1812 05 16;16-05-1812
Wednesday, 06.10.1915;06-10-1915
Tue 22/06/1948;22-06-1948
Sun. 1975 January 26;26-01-1975
Wed. 2010 12 01;01-12-2010
Wed. 30-01-2002;30-01-2002
Saturday 28 Nov 1992;28-11-1992
Thu. 16 08 1934;16-08-1934
Mon. 04 October 1819;04-10-1819
Sat 22 Nov 1851;22-11-1851
Mon. 06.03.2017;06-03-2017
Thu 1976 Aug 26;26-08-1976
Thursday 2032-02-05;05-02-2032
Tue. 2038.05.11;11-05-2038
Mon. 19/10/1987;19-10-1987
Thu 1982 Jul. 29;29-07-1982
Sun. 1818.06.07;07-06-1818
Fri. 03/08/1962;03-08-1962
Friday 14 02 1840;14-02-1840
Tue 1804 December 25;25-12-1804
1899 Mar. 18;18-03-1899
Friday 28 12 1945;28-12-1945
Saturday, 1939-09-30;30-09-1939
Saturday 22.09.1945;22-09-1945
Wednesday 02 Jun 1824;02-06-1824
Thursday 09 05 1867;09-05-1867
Monday, 03-11-2042;03-11-2042
Monday 07.08.2000;07-08-2000
Wed 19.07.1843;19-07-1843
Friday, 15 05 1964;15-05-1964
Tue 14-07-1807;14-07-1807
Thursday 05 Jun 1884;05-06-1884
Wednesday 28 May 1800;28-05-1800
Saturday 23 Mar. 1816;23-03-1816
1902 Aug 16;16-08-1902
Sun. 07-06-1981;07-06-1981
1977.11.18;18-11-1977
Tue. 28/06/1988;28-06-1988
Sat 1990 January 06;06-01-1990
Fri 13/09/1816;13-09-1816
Sunday 1987 May 10;10-05-1987
Wednesday, 13-01-1960;13-01-1960
Saturday 1970 11 14;14-11-1970
Wed. 25 May 1887;25-05-1887
Tuesday 1852 February 24;24-02-1852
Fri. 2043-12-04;04-12-2043
Sun. 1967 September 24;24-09-1967
Sun. 13 Jun. 2027;13-06-2027
1814-04-18;18-04-1814
Monday, 01 Apr 1940;01-04-1940
Sun 02 12 2029;02-12-2029
Thu 1937 Feb. 11;11-02-1937
Wed 1851/10/15;15-10-1851
Tuesday 1819-05-04;04-05-1819
Sat 16 Apr. 1938;16-04-1938
Thursday, 14 December 2006;14-12-2006
Fri 1977 Jan 14;14-01-1977
Saturday, 1994 06 11;11-06-1994
Sunday 10 Mar 2013;10-03-2013
Tuesday 18 March 2003;18-03-2003
Saturday, 1841 08 28;28-08-1841
Wednesday 25-07-1860;25-07-1860
Mon. 1842 May. 09;09-05-1842
Monday, 19/03/1827;19-03-1827
Wednesday, 1885-05-27;27-05-1885
Wednesday 1862 07 16;16-07-1862
04 Dec 1906;04-12-1906
Saturday, 1842/04/02;02-04-1842
Tuesday, 1808/08/02;02-08-1808
1976 Oct. 14;14-10-1976
Mon. 17 Jul. 1922;17-07-1922
Sat. 1954 Jul. 31;31-07-1954
Saturday, 02-02-1867;02-02-1867
Wed 01 January 1851;01-01-1851
Wed 23 March 1814;23-03-1814
Wed 1864 March 23;23-03-1864
Sun 1942-01-18;18-01-1942
2041 Feb. 14;14-02-2041
Friday, 2038.09.17;17-09-2038
Saturday 1895 Sep. 07;07-09-1895
Wed. 1979/12/26;26-12-1979
1885 Jun. 06;06-06-1885
Sat 1943 June 26;26-06-1943
Sun 10 July 2039;10-07-2039
13-12-1886;13-12-1886
Wed. 1877 09 12;12-09-1877
Sun 1840.03.15;15-03-1840
Mon 12.02.1872;12-02-1872
Wednesday, 1964 Jul. 22;22-07-1964
Sat 1983/07/30;30-07-1983
1813 June 23;23-06-1813
Sat. 28 Dec 1957;28-12-1957
Wednesday, 09 Aug. 1837;09-08-1837
Tuesday 06 06 1826;06-06-1826
31 07 1991;31-07-1991
Thu. 09-05-2019;09-05-2019
Tue 08/11/1892;08-11-1892
Tuesday 05.10.1920;05-10-1920
Fri. 1842 Dec. 30;30-12-1842
1881 Oct. 19;19-10-1881
Sun. 1846/12/06;06-12-1846
13 09 1840;13-09-1840
Mon. 26 12 1960;26-12-1960
Thursday, 10-04-2042;10-04-2042
01 December 1964;01-12-1964
Mon. 07 Jul 1958;07-07-1958
Monday 1924 Nov. 03;03-11-1924
1912 11 12;12-11-1912
Sun. 08.11.1846;08-11-1846
Wednesday 13.07.1988;13-07-1988
Sunday 1810 Sep 30;30-09-1810
1818 Oct. 30;30-10-1818
Saturday, 1923 May 12;12-05-1923
1820.03.07;07-03-1820
Thu. 22 Nov. 2035;22-11-2035
Saturday, 1878 Mar. 16;16-03-1878
Sun. 1899 Feb 26;26-02-1899
1803.09.12;12-09-1803
Sunday, 15 08 1897;15-08-1897
Sat. 17-07-1824;17-07-1824
Mon. 2045.01.16;16-01-2045
Sunday 1917.07.08;08-07-1917
Wed 1851 12 24;24-12-1851
Tuesday 04 Jan 2011;04-01-2011
Fri 29 Sep. 1939;29-09-1939
Mon 1932-05-02;02-05-1932
1998.02.24;24-02-1998
Fri. 02 October 1896;02-10-1896
Thu 1901-03-07;07-03-1901
Sunday, 14-01-1906;14-01-1906
Thursday, 25 04 1861;25-04-1861
Sunday 1884 January 06;06-01-1884
Mon. 22/10/1827;22-10-1827
Tue 06 Jun 1820;06-06-1820
Saturday 2001-09-29;29-09-2001
Friday, 19-10-2001;19-10-2001
Friday 1901 Mar 22;22-03-1901
Friday, 16/05/1890;16-05-1890
Tue. 1914/08/25;25-08-1914
Wednesday, 1963 Jul. 10;10-07-1963
Wednesday, 12-03-1947;12-03-1947
Sunday, 23 Dec 1827;23-12-1827
Thu. 1851/12/25;25-12-1851
1910-06-17;17-06-1910
Fri 1842 Dec 02;02-12-1842
Sat 2031-09-06;06-09-2031
Fri 1893.09.15;15-09-1893
Sun 1979 February 18;18-02-1979
Saturday, 19 December 1846;19-12-1846
Wed. 1887 June 08;08-06-1887
Tue 17 Jan 2017;17-01-2017
Thursday, 26-02-1885;26-02-1885
22.04.1815;22-04-1815
Wed. 19 Aug 2043;19-08-2043
Thu 21 February 1924;21-02-1924
Saturday 1960 May 28;28-05-1960
Friday 1909 Apr. 23;23-04-1909
Tuesday, 1900 Jan 02;02-01-1900
Tuesday 1924-08-26;26-08-1924
Sunday, 1892 04 17;17-04-1892
Wednesday, 18 June 1845;18-06-1845
Monday 06.11.2034;06-11-2034
1868 06 13;13-06-1868
Mon. 1811 Oct. 14;14-10-1811
Thu. 1926 Mar. 25;25-03-1926
Sunday 1967/12/10;10-12-1967
Tue. 1994 Nov. 29;29-11-1994
Saturday, 1882-10-28;28-10-1882
Thursday 10/09/1970;10-09-1970
1965 Apr 29;29-04-1965
13 12 1958;13-12-1958
Saturday 1835.08.15;15-08-1835
Mon 25/09/1809;25-09-1809
1852 Feb 26;26-02-1852
Monday 2046 10 01;01-10-2046
Tue 1862-12-09;09-12-1862
Thursday, 1972.09.21;21-09-1972
Tue 2049/12/28;28-12-2049
Mon. 1854 Nov. 06;06-11-1854
1932 08 04;04-08-1932
Sun. 04-06-1939;04-06-1939
Sun 06-04-1884;06-04-1884
Monday 17 Sep 1832;17-09-1832
27/10/2028;27-10-2028
Friday, 05/12/1930;05-12-1930
Mon 16/08/1852;16-08-1852
Tue. 2023 Oct. 03;03-10-2023
20 Oct 1936;20-10-1936
Sun. 28/02/1830;28-02-1830
Fri. 14.02.1992;14-02-1992
Monday, 1847-08-09;09-08-1847
Thursday 1843 November 23;23-11-1843
1844-12-07;07-12-1844
Sun 1887 November 06;06-11-1887
Sunday 01-12-1805;01-12-1805
Thursday 1939-02-09;09-02-1939
Sunday, 2029 Jan. 28;28-01-2029
Monday 1934 Sep. 03;03-09-1934
Wed. 13/04/1921;13-04-1921
1963 Oct 16;16-10-1963
1854.04.18;18-04-1854
Wed 1835.12.16;16-12-1835
Fri 1875 May 14;14-05-1875
1823 Aug 30;30-08-1823
1838-05-11;11-05-1838
Wed. 1925 Feb. 04;04-02-1925
Sun 22 Jun 1817;22-06-1817
Fri 22 Sep. 1865;22-09-1865
Wednesday, 14-07-1926;14-07-1926
Sun 1820/06/18;18-06-1820
Tuesday, 14 07 1959;14-07-1959
Wed. 1811 Oct. 02;02-10-1811
Sat 2031/08/23;23-08-2031
Wednesday 10-07-1929;10-07-1929
Fri 1822/12/06;06-12-1822
Wednesday, 25 Feb. 1863;25-02-1863
Friday, 23 Jun. 1826;23-06-1826
Friday, 1904 Aug. 26;26-08-1904
Sun. 1950 Jun 25;25-06-1950
Thu. 1946 06 06;06-06-1946
Thu 10.05.1973;10-05-1973
1925 Jun 10;10-06-1925
Thu. 19/12/1996;19-12-1996
1876/02/19;19-02-1876
Sun. 14 09 1980;14-09-1980
Monday, 2035-06-11;11-06-2035
Thursday, 2021 August 19;19-08-2021
Monday 1913/08/18;18-08-1913
Friday 27 Sep 1833;27-09-1833
Thu. 06-01-1938;06-01-1938
Friday 1929/04/26;26-04-1929
Thursday, 1804 Oct. 25;25-10-1804
Thursday 29 09 1814;29-09-1814
Saturday, 1979.08.25;25-08-1979
Saturday 1880.10.02;02-10-1880
Thursday, 2049 August 19;19-08-2049
1983 May. 08;08-05-1983
Thu 1979 11 15;15-11-1979
Mon 1868 Jun 29;29-06-1868
02 Jun. 1829;02-06-1829
Fri 1881.08.19;19-08-1881
Tue. 05 March 2013;05-03-2013
1911 Sep. 17;17-09-1911
Saturday, 1996 January 20;20-01-1996
Fri 2001-01-05;05-01-2001
Tue. 02 10 1849;02-10-1849
29/07/2025;29-07-2025
Monday, 12.09.1994;12-09-1994
Wed 2014-02-05;05-02-2014
Tuesday, 19/05/1896;19-05-1896
Wednesday, 29-09-1824;29-09-1824
Thu. 15 12 1938;15-12-1938
1933-05-22;22-05-1933
30 08 1920;30-08-1920
Thu. 1820.09.07;07-09-1820
Sat 1958 May 24;24-05-1958
Monday 08-08-1910;08-08-1910
Wednesday 10 Oct. 1906;10-10-1906
Tuesday, 1954 Oct. 05;05-10-1954
Wednesday 1935/07/17;17-07-1935
Wednesday, 1993 Aug 18;18-08-1993
1875.06.12;12-06-1875
Tue 19 Aug 1919;19-08-1919
Wed. 29 Jun. 1988;29-06-1988
Tue 02-06-2015;02-06-2015
11/06/2020;11-06-2020
Monday 1980 Nov. 17;17-11-1980
2030 Oct. 31;31-10-2030
Monday, 02-02-1818;02-02-1818
Sat 1822 September 28;28-09-1822
Tuesday, 01-05-1990;01-05-1990
Wednesday 1929/10/16;16-10-1929
22 May 1854;22-05-1854
Wednesday 1987-01-21;21-01-1987
Tuesday, 09-01-1866;09-01-1866
Mon 1942 Jun 15;15-06-1942
Sunday, 2031.08.24;24-08-2031
Wednesday 14 07 2004;14-07-2004
Friday, 2035-05-25;25-05-2035
Wednesday, 1888/10/17;17-10-1888
Fri 1924 Jul. 11;11-07-1924
07-04-1807;07-04-1807
Sat. 20.01.1973;20-01-1973
Tuesday, 23 Dec 1817;23-12-1817
Saturday, 1842 Oct 22;22-10-1842
Thu 1916 Mar 02;02-03-1916
Thursday 1939 March 02;02-03-1939
1892/01/23;23-01-1892
1872/07/20;20-07-1872
Fri 10/05/2041;10-05-2041
Fri. 28 Aug 1970;28-08-1970
Saturday, 14-03-1942;14-03-1942
1808 Mar 03;03-03-1808
Thursday 03.08.1865;03-08-1865
11 October 1844;11-10-1844
Thursday 1938 Sep 22;22-09-1938
Thursday 1869 09 09;09-09-1869
Friday, 2028 October 20;20-10-2028
Wednesday 26 October 2044;26-10-2044
Tue 1857 Dec. 01;01-12-1857
Wednesday, 1802.08.25;25-08-1802
Wednesday 2019 Jun 19;19-06-2019
Fri. 1957 December 20;20-12-1957
Wed. 17/09/1800;17-09-1800
Sunday, 2026 Mar. 29;29-03-2026
Sunday, 2032 10 17;17-10-2032
Mon 17-09-2001;17-09-2001
Wednesday, 2020 Jul 22;22-07-2020
1886/05/31;31-05-1886
Tuesday, 1838 Oct. 02;02-10-1838
Sat. 27-02-1904;27-02-1904
Wed. 19 March 1958;19-03-1958
Mon 04 Aug. 1969;04-08-1969
Wednesday, 22-12-1909;22-12-1909
2041 Feb 08;08-02-2041
Thursday 28 03 1957;28-03-1957
Saturday, 18 Jun 1853;18-06-1853
Mon. 2008 Apr. 28;28-04-2008
18 Feb. 2042;18-02-2042
Sun. 01/07/1956;01-07-1956
Sunday 1812 November 29;29-11-1812
Sat 2020 Nov 14;14-11-2020
Sat 31-08-2030;31-08-2030
19 July 1966;19-07-1966
Thursday 1958/01/16;16-01-1958
Thursday 1890 05 08;08-05-1890
Monday 1864 April 18;18-04-1864
Friday, 1963 Jan 18;18-01-1963
Tuesday 13 Oct. 1829;13-10-1829
Fri 25 October 1895;25-10-1895
Tuesday, 21 August 1888;21-08-1888
10 Jun 1888;10-06-1888
Monday 13-10-1884;13-10-1884
Wed 09.02.1983;09-02-1983
Friday, 13 Jun. 1930;13-06-1930
Monday 1856 12 08;08-12-1856
Fri 1997 Aug. 15;15-08-1997
Thursday 01 Mar 1945;01-03-1945
2017.10.13;13-10-2017
Fri 1968-03-22;22-03-1968
Fri. 2024 04 05;05-04-2024
Thu. 07.03.1816;07-03-1816
Fri. 22 12 1989;22-12-1989
Fri. 1882 Aug. 11;11-08-1882
Wednesday, 1805 05 08;08-05-1805
1835/09/24;24-09-1835
Thu 18.02.1841;18-02-1841
Friday 1913 Oct 17;17-10-1913
30/11/1958;30-11-1958
28 March 1935;28-03-1935
1979 Feb 03;03-02-1979
Mon. 29-11-1999;29-11-1999
Friday 05 Nov 2049;05-11-2049
Tuesday, 30 March 1813;30-03-1813
Mon. 1938.07.18;18-07-1938
Fri 1972-04-14;14-04-1972
Wednesday, 2031 11 12;12-11-2031
Wed. 2002 10 30;30-10-2002
Wednesday, 1967 Oct 25;25-10-1967
Thu 2048/05/14;14-05-2048
1919.09.16;16-09-1919
Saturday 09/06/1832;09-06-1832
Wednesday 1870/06/29;29-06-1870
Sunday, 2027 Mar. 28;28-03-2027
Wednesday, 2006 12 20;20-12-2006
Wednesday 1909 March 24;24-03-1909
Saturday 18 Jan. 2042;18-01-2042
Tue 1846 Jan 20;20-01-1846
09 03 1955;09-03-1955
Sunday, 1980 Sep. 21;21-09-1980
Sunday 2050.05.08;08-05-2050
1899 November 16;16-11-1899
Monday, 1820-10-02;02-10-1820
Sunday 1993 May 23;23-05-1993
1831.04.28;28-04-1831
Tue. 26/11/1974;26-11-1974
Tue 2048 11 10;10-11-2048
Sat 1996/02/17;17-02-1996
Friday, 10.01.1902;10-01-1902
25 Jan 1909;25-01-1909
2006-06-18;18-06-2006
Friday, 14 Feb. 2048;14-02-2048
Sun 11/08/2024;11-08-2024
Sat. 11 February 1905;11-02-1905
Sunday, 14 07 2047;14-07-2047
1838 Jul 21;21-07-1838
Saturday, 1879 September 27;27-09-1879
Wed 1879/04/16;16-04-1879
Sat. 1981 February 07;07-02-1981
1804 Oct 26;26-10-1804
Sat 08/03/1930;08-03-1930
Saturday 1987/05/09;09-05-1987
Friday 22 04 1988;22-04-1988
Tuesday 26 01 1982;26-01-1982
Mon. 02 January 1950;02-01-1950
Fri. 1992.03.20;20-03-1992
Tuesday 27-11-1951;27-11-1951
Thursday 24 January 1935;24-01-1935
Sunday, 1926 12 19;19-12-1926
Tue. 17.05.1842;17-05-1842
Tue. 13-07-1909;13-07-1909
Monday, 05 Dec 2044;05-12-2044
1947 Oct. 17;17-10-1947
Wednesday 30-05-1923;30-05-1923
Saturday 31 May. 1845;31-05-1845
Friday 31/07/1891;31-07-1891
Sun 12 May 1839;12-05-1839
2012 05 26;26-05-2012
Thursday, 16.09.1897;16-09-1897
Tuesday 1959-07-21;21-07-1959
12 05 1969;12-05-1969
Sunday, 27 May 1900;27-05-1900
Sunday 22 04 1888;22-04-1888
Tue 1809 September 05;05-09-1809
Sat 14 July 1883;14-07-1883
Sat. 05 April 1997;05-04-1997
Sunday, 15 Oct. 1967;15-10-1967
Sun. 1927.07.17;17-07-1927
Thursday, 1957-11-07;07-11-1957
Thu 1806/09/11;11-09-1806
Wednesday, 1920 May. 05;05-05-1920
Tue. 1880 06 22;22-06-1880
Friday 1803.09.16;16-09-1803
1851 Feb 14;14-02-1851
Friday, 22 Jul. 1836;22-07-1836
Sunday, 1843 December 17;17-12-1843
Tuesday 06/02/1844;06-02-1844
Friday, 20-05-1988;20-05-1988
Sat. 29 11 1930;29-11-1930
Wednesday 1803-02-09;09-02-1803
Thu 1861 05 02;02-05-1861
Tuesday, 30 Jun 1801;30-06-1801
18/07/1988;18-07-1988
Wednesday 2025 Apr. 16;16-04-2025
Tue 04 October 1887;04-10-1887
1928 Jan. 24;24-01-1928
Sat 1882 August 05;05-08-1882
Monday, 1846 Jan. 05;05-01-1846
1828.07.26;26-07-1828
Fri 1878 July 26;26-07-1878
Friday 1959 03 06;06-03-1959
Mon. 1807.02.02;02-02-1807
Wednesday 15 October 1919;15-10-1919
Tue. 29.06.1993;29-06-1993
1852 Feb 15;15-02-1852
Sunday 1907 May. 19;19-05-1907
Mon. 2049 May 10;10-05-2049
Thu 24 November 1910;24-11-1910
1805-08-22;22-08-1805
Fri. 15 September 1950;15-09-1950
Mon. 1941/07/28;28-07-1941
Saturday 1896.04.11;11-04-1896
Sunday, 27 Apr. 1890;27-04-1890
Friday, 1895 May 17;17-05-1895
Sun. 24 Oct 1909;24-10-1909
10 Mar. 1936;10-03-1936
Sunday, 1935-08-25;25-08-1935
Monday 1856/12/29;29-12-1856
Friday, 25.11.1966;25-11-1966
1910.06.11;11-06-1910
Monday 20/05/2024;20-05-2024
Saturday 2003 August 30;30-08-2003
01-03-1972;01-03-1972
